航班,始发地,目的地,经停,计划到达,航站楼,状态
CA3865,南京,成都,,13:00,T2,已于12:52到达
HO1097,上海虹桥,成都,,13:00,T2,已于12:41到达
3U2239,上海虹桥,成都,,13:00,T2,已于12:41到达
MU4731,上海虹桥,成都,,13:00,T2,已于12:41到达
MU5777,大理,成都,,13:05,T2,已于14:12到达
CA1415,北京,成都,,13:05,T2,已于12:38到达
ZH1415,北京,成都,,13:05,T2,已于12:38到达
EU2236,广州,成都,,13:05,T2,已于13:01到达
3U8260,青岛,成都,,13:05,T1,已于12:34到达
EU7026,青岛,成都,,13:05,T1,已于12:34到达
SC7056,青岛,成都,,13:05,T1,已于12:34到达
3U8738,广州,成都,,13:10,T1,已于12:48到达
CZ4986,广州,成都,,13:10,T1,已于12:48到达
MU5845,昆明,成都,,13:10,T2,已于12:43到达
3U5128,昆明,成都,,13:10,T2,已于12:43到达
MF3072,昆明,成都,,13:10,T2,已于12:43到达
CZ6255,哈尔滨,成都,,13:10,T2,已于13:18到达
3U3125,哈尔滨,成都,,13:10,T2,已于13:18到达
MF1977,哈尔滨,成都,,13:10,T2,已于13:18到达
CZ6441,长春,成都,,13:15,T2,已于13:13到达
3U3139,长春,成都,,13:15,T2,已于13:13到达
CA4592,上海浦东,成都,,13:15,T2,计划13:15到达
ZH4592,上海浦东,成都,,13:15,T2,计划13:15到达
3U8010,九寨黄龙,成都,,13:15,T1,已于13:05到达
3U8774,南宁,成都,,13:20,T1,已于17:03到达
CZ4996,南宁,成都,,13:20,T1,已于17:03到达
MU4044,南宁,成都,,13:20,T1,已于17:03到达
ZH3802,南宁,成都,,13:20,T1,已于17:03到达
CA4374,揭阳,成都,,13:20,T2,已于13:08到达
SC4374,揭阳,成都,,13:20,T2,已于13:08到达
TV6388,揭阳,成都,,13:20,T2,已于13:08到达
ZH4374,揭阳,成都,,13:20,T2,已于13:08到达
CA4462,攀枝花,成都,,13:20,T2,已于12:56到达
TV6428,攀枝花,成都,,13:20,T2,已于12:56到达
ZH4462,攀枝花,成都,,13:20,T2,已于12:56到达
CA460,东京成田,成都,,13:20,T1,已于12:36到达
8L9666,拉萨,成都,,13:45,T2,已于13:38到达
CZ6925,库尔勒,成都,,13:50,T2,已于13:29到达
MU4785,库尔勒,成都,,13:50,T2,已于13:29到达
EU2218,深圳,成都,,13:55,T2,已于13:34到达
3U1610,深圳,成都,,13:55,T2,已于13:34到达
3U8116,银川,成都,,13:55,T1,已于13:36到达
CA4512,青岛,成都,,14:00,T2,已于13:25到达
SC4512,青岛,成都,,14:00,T2,已于13:25到达
TV6438,青岛,成都,,14:00,T2,已于13:25到达
ZH4512,青岛,成都,,14:00,T2,已于13:25到达
CA4306,广州,成都,,14:00,T2,已于14:21到达
SC4306,广州,成都,,14:00,T2,已于14:21到达
TV6348,广州,成都,,14:00,T2,已于14:21到达
ZH4306,广州,成都,,14:00,T2,已于14:21到达
ZH9403,深圳,成都,,14:00,T2,已于13:14到达
CA3703,深圳,成都,,14:00,T2,已于13:14到达
